<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAAP,20160318,35,39.66,34.35,38.01,37200
AAL,20160318,42.31,43.53,41.75,43.44,13745900
AAME,20160318,4.18,4.49,4.12,4.38,12500
AAOI,20160318,17.76,17.93,17.32,17.56,194000
AAON,20160318,26.82,27.49,26.67,27.16,381100
AAPC,20160318,10.2,10.37,10.2,10.37,300
AAPL,20160318,106.34,106.5,105.19,105.92,44205100
AAWW,20160318,41.87,42.54,41.35,42.2,309300
AAXJ,20160318,54.18,54.52,54.18,54.32,628400
ABAC,20160318,2.8,2.8,2.24,2.6,1000
ABAX,20160318,42.01,42.06,41.66,42,275800
ABCB,20160318,29.3,29.83,29.27,29.43,487700
ABCD,20160318,4.42,4.46,4.27,4.39,54600
ABCO,20160318,29.28,30.82,28.72,30.25,665400
ABDC,20160318,10.85,10.85,10.69,10.83,59200
ABEO,20160318,2.82,2.92,2.77,2.9,54800
ABEOW,20160318,0.9,0.9,0.9,0.9,100
ABIL,20160318,6.39,6.39,6.15,6.38,6000
ABIO,20160318,3.73,3.84,3.69,3.78,6500
ABMD,20160318,86,88.65,85.68,87.53,414900
ABTL,20160318,18,18.6,17.87,18.46,188000
ABTX,20160318,18.07,18.43,17.87,18.43,15900
ABUS,20160318,3.64,3.98,3.58,3.96,114100
ABY,20160318,18.36,18.88,17.53,17.59,573900
ACAD,20160318,19.57,19.88,18.99,19.79,3040500
ACAS,20160318,14.7,14.99,14.48,14.94,2335000
ACAT,20160318,16.88,17.52,16.43,17.32,252800
ACBI,20160318,13.5,13.71,13.4,13.69,54900
ACET,20160318,21.88,22.05,21.64,21.78,194700
ACFC,20160318,5.87,5.9,5.87,5.87,4500
ACGL,20160318,70.16,70.59,69.64,70.17,317200
ACHC,20160318,50.18,52.4,50.18,52.37,1161500
ACHN,20160318,7.14,7.37,7,7.26,3884200
ACIW,20160318,20.06,20.24,19.83,20.02,1259000
ACLS,20160318,10.96,11.44,10.84,11.4,773800
ACNB,20160318,22,22.35,21.7,22.35,6100
ACOR,20160318,25.76,26.85,25.52,26.43,1903300
ACRS,20160318,16.11,16.11,15.52,15.71,23800
ACRX,20160318,3.2,3.25,3.03,3.08,977500
ACSF,20160318,9.46,9.63,9.41,9.6,21800
ACST,20160318,1.63,1.63,1.63,1.63,0
ACTA,20160318,9.27,9.5,9.22,9.4,235400
ACTG,20160318,3.83,3.97,3.6,3.83,1661400
ACTX,20160318,12.95,12.95,12.89,12.89,600
ACUR,20160318,2.09,2.15,2.08,2.15,74500
ACWI,20160318,55.97,56.11,55.85,56,1133500
ACWX,20160318,39.6,39.75,39.54,39.59,1617100
ACXM,20160318,21.28,22.22,21.28,21.78,760800
ADAP,20160318,7.51,7.79,7.41,7.61,107600
ADBE,20160318,98,98,93.11,93.42,12530100
ADHD,20160318,4,4.12,3.85,4.03,313300
ADI,20160318,57.87,59.06,57.73,59.01,4820100
ADMA,20160318,5.26,5.97,5.22,5.79,44500
ADMP,20160318,5.19,5.49,5.15,5.47,47400
ADMS,20160318,12.51,12.77,12.07,12.64,487200
ADP,20160318,89.24,89.24,88.02,88.64,3207900
ADRA,20160318,25.9,26,25.9,26,500
ADRD,20160318,19.95,19.95,19.84,19.89,7600
ADRE,20160318,30.64,30.75,30.64,30.71,3200
ADRO,20160318,11.59,12.19,11.5,11.97,556000
ADRU,20160318,19.57,19.62,19.57,19.57,1700
ADSK,20160318,57.69,58.61,57.3,57.81,2486400
ADTN,20160318,19.77,19.77,19.43,19.6,422700
ADUS,20160318,16.96,17.33,16.69,17.11,93100
ADXS,20160318,8.17,8.52,7.99,8.24,2393200
ADXSW,20160318,5.92,6,5.76,5.76,4000
AEGN,20160318,21.21,21.21,20.74,20.87,485700
AEHR,20160318,1.14,1.14,1.08,1.08,1800
AEIS,20160318,32.9,32.98,32.01,32.8,771900
AEMD,20160318,5.02,5.54,4.9,4.99,31100
AEPI,20160318,70.7,70.7,64.64,65.13,69000
AERI,20160318,11.93,13.05,11.1,12.37,1331600
AETI,20160318,2.5,2.55,2.4,2.43,6800
AEY,20160318,1.98,2.07,1.95,2.07,9600
AEZS,20160318,3.58,3.71,3.55,3.58,113900
AFAM,20160318,35.35,36.39,34.58,35.68,139600
AFH,20160318,18.22,18.22,17.69,18.11,52700
AFMD,20160318,3.93,4,3.81,3.96,374700
AFSI,20160318,25.52,25.98,25.5,25.81,1110500
AGEN,20160318,3.8,3.91,3.62,3.79,3497200
AGFS,20160318,5.78,6,5.78,6,156200
AGFSW,20160318,0.92,0.92,0.92,0.92,3300
AGII,20160318,57.65,57.9,56.91,57.1,152400
AGIIL,20160318,25.2,25.2,25.07,25.12,10200
AGIO,20160318,36,36.71,34.48,36.1,1281100
AGNC,20160318,18.64,18.77,18.47,18.63,5163600
AGNCB,20160318,24.6,24.74,24.55,24.69,13800
AGNCP,20160318,26.03,26.1,25.91,25.92,10500
AGND,20160318,43.19,43.19,43.19,43.19,0
AGRX,20160318,5.61,5.82,5.54,5.79,82900
AGTC,20160318,13.59,13.96,13.2,13.75,222300
AGYS,20160318,10.74,10.91,10.39,10.59,101800
AGZD,20160318,47.86,48.14,47.53,47.53,5000
AHGP,20160318,14.23,14.79,14.05,14.47,227700
AHPI,20160318,0.7,0.73,0.67,0.67,256900
AIA,20160318,43.08,43.26,43.08,43.19,38400
AIMC,20160318,26.93,27.25,26.47,27.15,185100
AIMT,20160318,15.18,15.3,14.6,14.65,506600
AINV,20160318,5.56,5.68,5.47,5.53,1493800
AIQ,20160318,6.93,7.95,6.76,6.96,60100
AIRM,20160318,35.26,37.75,35.26,37.06,950300
AIRR,20160318,17.52,17.52,17.37,17.38,1700
AIRT,20160318,25.42,26.62,25.42,26.62,8500
AIXG,20160318,3.82,3.91,3.82,3.86,20500
AKAM,20160318,56.5,57.05,55.69,55.95,2417900
