<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAAP,20160415,35.3,35.77,33.51,34.85,17000
AAL,20160415,41.3,41.36,40.72,40.91,6982200
AAME,20160415,4.57,4.76,4.54,4.54,2000
AAOI,20160415,16.18,16.18,15.76,15.82,125000
AAON,20160415,27.45,27.6,27.14,27.27,105100
AAPC,20160415,10.39,10.39,10.27,10.29,3200
AAPL,20160415,112.11,112.3,109.73,109.85,46938900
AAWW,20160415,40.07,40.76,39.7,40.34,138900
AAXJ,20160415,55.38,55.38,55.08,55.1,526700
ABAC,20160415,2.36,2.48,2.36,2.44,24800
ABAX,20160415,45.62,46.12,45.07,45.35,335600
ABCB,20160415,30.51,30.99,30.23,30.91,184900
ABCD,20160415,4.37,4.49,4.27,4.44,16400
ABCO,20160415,31.84,33.46,31.84,33.05,282500
ABDC,20160415,11.72,12,11.38,11.76,50000
ABEO,20160415,2.75,2.86,2.75,2.78,45000
ABEOW,20160415,0.79,0.79,0.79,0.79,0
ABIL,20160415,6.83,6.83,6.8,6.8,1500
ABIO,20160415,3.69,3.84,3.64,3.74,6800
ABMD,20160415,96.86,98.4,95.81,98.22,509000
ABTL,20160415,17.4,17.66,17.37,17.5,90600
ABTX,20160415,19.92,20.26,19.6,20.22,9600
ABUS,20160415,4.96,4.96,4.7,4.85,110800
ABY,20160415,17.93,18.54,17.88,18.42,667200
ACAD,20160415,33.68,33.97,32.92,33.52,3696200
ACAS,20160415,15.67,15.81,15.66,15.73,870300
ACAT,20160415,16.18,16.76,16,16.23,74100
ACBI,20160415,13.97,14.27,13.95,13.99,71300
ACET,20160415,23.2,23.6,22.88,23.59,179400
ACFC,20160415,6.24,6.28,6.12,6.2,10800
ACGL,20160415,70.52,71.39,70.04,71.3,322100
ACHC,20160415,58.25,58.53,57.36,58.16,560900
ACHN,20160415,8.49,8.67,8.4,8.6,1216500
ACIW,20160415,20.27,20.39,20,20.38,415200
ACLS,20160415,11.2,11.36,11.2,11.28,286100
ACNB,20160415,22.37,22.95,22.37,22.75,5100
ACOR,20160415,28.08,28.64,27.95,28.54,356600
ACRS,20160415,20.02,20.39,19.86,20.06,28900
ACRX,20160415,3.75,3.99,3.73,3.81,288400
ACSF,20160415,10.15,10.25,10.14,10.2,31200
ACST,20160415,1.43,1.43,1.35,1.35,3100
ACTA,20160415,9.83,9.98,9.76,9.88,42000
ACTG,20160415,3.98,4.14,3.98,4.03,360600
ACTX,20160415,12.6,12.6,12.6,12.6,0
ACUR,20160415,3.15,3.3,3.06,3.25,70100
ACWI,20160415,56.92,57.01,56.83,56.9,2853400
ACWX,20160415,40.31,40.38,40.24,40.25,272100
ACXM,20160415,21.36,21.47,20.98,21.06,431300
ADAP,20160415,9.5,9.79,9.34,9.63,141400
ADBE,20160415,94.66,95.22,94.16,95.16,2187300
ADHD,20160415,4.41,4.49,4.31,4.39,76700
ADI,20160415,59.39,59.39,58.64,58.66,2076500
ADMA,20160415,7.33,7.55,7.33,7.44,7700
ADMP,20160415,7.95,8.23,7.64,8.13,257100
ADMS,20160415,18.09,18.33,17.81,18.06,241300
ADP,20160415,90.83,90.83,89.75,90.15,1750700
ADRA,20160415,26.34,26.34,26.34,26.34,200
ADRD,20160415,20.1,20.12,20.1,20.12,6000
ADRE,20160415,31.88,31.88,31.8,31.85,3000
ADRO,20160415,13.2,13.93,12.93,13.74,363300
ADRU,20160415,19.86,19.86,19.86,19.86,400
ADSK,20160415,58,58.52,57.44,58.42,1792900
ADTN,20160415,20.12,20.33,19.8,20.3,400500
ADUS,20160415,19.24,19.58,19.13,19.48,26000
ADXS,20160415,9.66,9.77,9.52,9.73,745300
ADXSW,20160415,7.06,7.15,6.8,7.09,6500
AEGN,20160415,21.34,21.42,21.03,21.35,82500
AEHR,20160415,1.48,1.73,1.48,1.65,5100
AEIS,20160415,35.05,35.79,34.6,35.26,261000
AEMD,20160415,5.52,5.62,5.5,5.5,14100
AEPI,20160415,62.74,63.98,62.74,63.75,14600
AERI,20160415,15.04,15.49,14.85,15.15,164900
AETI,20160415,2.09,2.19,2.09,2.09,4100
AEY,20160415,1.89,1.89,1.86,1.86,1700
AEZS,20160415,3.9,4.35,3.9,4.24,706200
AFAM,20160415,38.1,39.1,37.34,38.94,40600
AFH,20160415,17.81,18.03,17.79,17.82,12200
AFMD,20160415,4.47,4.63,4.42,4.43,171200
AFSI,20160415,25.25,25.25,24.98,25.1,598500
AGEN,20160415,4.34,4.37,4.27,4.29,758600
AGFS,20160415,6.52,6.82,6.36,6.46,64200
AGFSW,20160415,0.8,0.95,0.8,0.95,3600
AGII,20160415,55.89,57.4,55.38,56.06,102300
AGIIL,20160415,25.48,25.71,25.48,25.7,13100
