<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
A,20090710,18.78,19.08,18.72,18.96,2443100
AA,20090710,27.18,28.17,27.12,28.02,32621700
AAN,20090710,19.0467,19.38,18.98,19.2067,763000
AAP,20090710,44.02,44.39,43.62,44.18,1073000
AAV,20090710,4.11,4.38,3.95,4.29,1579400
AB,20090710,18.01,18.23,17.9,18.1,362300
ABB,20090710,14.89,15.11,14.86,15.02,3616700
ABC,20090710,17.86,18.05,17.54,17.72,2831300
ABG,20090710,9.11,9.51,8.35,9.25,262900
ABM,20090710,16.74,17.09,16.66,16.89,201200
ABR,20090710,1.5,1.53,1.5,1.5,64500
ABT,20090710,45.8,45.8,45.27,45.41,6428700
ABX,20090710,31.43,32.04,31.03,31.64,6936000
ACC,20090710,19.93,20.25,19.33,20.09,540100
ACH,20090710,21.91,22.34,21.62,22.1,488300
ACM,20090710,30.05,30.78,29.61,30.66,728800
ACN,20090710,32.18,33.17,32.18,32.7,2759900
ACV,20090710,24.78,24.95,24.66,24.85,403600
ADC,20090710,17.26,17.42,16.41,17.3,37100
ADM,20090710,26.88,27.16,26.48,26.66,3455400
ADS,20090710,38.07,38.91,37.46,37.63,725400
ADX,20090710,8.09,8.1,8.04,8.05,76400
AEB,20090710,13.05,13.05,12.5,12.95,80100
AED,20090710,14.87,15.03,14.66,14.94,15400
AEE,20090710,23.38,23.45,23.11,23.36,659200
AEG,20090710,5.2,5.32,5.13,5.23,582800
AEH,20090710,14.47,14.62,14.28,14.62,71400
AEL,20090710,5.42,5.54,5.24,5.51,318800
AEM,20090710,48.83,49.77,48.13,49.11,1683800
AEO,20090710,12.69,13.05,12.61,12.8,3340500
AEP,20090710,28.5,28.59,28.07,28.53,3582800
AER,20090710,6.5,6.56,6.29,6.41,189200
AES,20090710,11.04,11.21,10.84,11.18,5462600
AES-C,20090710,41.55,41.55,40.2,40.95,18300
AET,20090710,25.49,26.27,25.14,25.56,6555500
AF,20090710,8.39,8.44,8.25,8.36,1456800
AFB,20090710,12.31,12.4,12.27,12.33,43400
AFC,20090710,10.03,10.15,9.25,10.01,24700
AFG,20090710,21.51,21.73,21.21,21.51,767700
AFL,20090710,28.74,28.9,28.25,28.65,3892800
AGC,20090710,6.44,6.54,6.44,6.53,104700
AGCO,20090710,25.65,25.77,24.95,25.06,1250300
AGD,20090710,15,15.08,14.8,15,59600
AGM,20090710,4.41,4.44,4.19,4.24,128900
AGM.A,20090710,3.21,3.3,3.21,3.3,1900
AGN,20090710,45.72,45.89,45.02,45.36,1557600
AGO,20090710,10.77,11.11,10.7,10.99,916500
AGU,20090710,37.45,38.35,35.5,36.28,5815000
AHC,20090710,0.94,0.97,0.94,0.97,5900
AHL,20090710,23.58,23.97,23.43,23.57,1058200
AHL-A,20090710,16.09,16.38,15.95,15.95,6100
AHT,20090710,2.47,2.66,2.47,2.61,422600
AHT-A,20090710,10.34,10.34,10.25,10.26,2200
AHT-D,20090710,10.11,10.37,10.1,10.37,7600
AI,20090710,6.8,7.6,6.8,7,968100
AIB,20090710,17.65,18.6,17.4,18.1,1870600
AIG,20090710,8.81,12.44,8.22,11.74,90316400
AIN,20090710,9.96,10.53,9.93,10.35,165000
AIR,20090710,14.39,14.72,14.34,14.62,232200
AIT,20090710,18.34,18.82,18.11,18.79,207500
AIV,20090710,7.46,7.62,7.36,7.49,1755300
AIZ,20090710,22.52,22.71,22.08,22.39,963600
AJG,20090710,20.6,20.78,20.4,20.51,475100
AKO.A,20090710,14,14.15,14,14.15,1700
AKO.B,20090710,16.68,17.03,16.5,17.03,3000
AKP,20090710,11.22,11.27,11.15,11.27,7800
AKR,20090710,11.82,12,11.59,11.81,293400
AKS,20090710,16,16.15,15.42,15.89,7699000
ALB,20090710,23.39,24.01,23.39,23.75,410200
ALE,20090710,28.02,28.15,27.84,28.05,68800
ALEX,20090710,24.44,25,24.25,24.89,150600
ALG,20090710,10.4,10.56,10.32,10.4,11600
ALJ,20090710,8.56,8.64,8.37,8.5,88600
ALK,20090710,4.7,5.1325,4.7,5.085,953800
ALL,20090710,23.2,23.53,22.82,23.08,3920600
ALP-O,20090710,22.48,22.65,22.48,22.65,800
ALV,20090710,27.29,27.77,27.21,27.4,917400
ALX,20090710,252.75,262.66,251.49,260.38,10400
AM,20090710,11.56,11.85,11.42,11.58,523500
AME,20090710,14.4445,14.7111,14.4445,14.6,510800
AMG,20090710,52.43,53.6,52.26,52.67,413400
AMN,20090710,64.19,66.41,64.18,65.52,84300
AMP,20090710,22.29,22.45,21.96,22.14,2001300
AMT,20090710,30.87,31.13,30.36,30.78,3377600
AMX,20090710,18.945,19.19,18.755,19.125,3126600
AN,20090710,16.54,16.91,16.14,16.53,2173700
ANF,20090710,22.7,23.51,22.7,23.14,3399700
ANH,20090710,7.09,7.32,7.09,7.26,980500
ANH-A,20090710,22.4,22.49,22.4,22.49,800
ANH-B,20090710,22.65,22.65,22.63,22.65,4400
ANW,20090710,15.67,16.04,15.55,15.9,93900
AOD,20090710,14.34,14.56,14.28,14.44,577200
AOI,20090710,38.7,39.4,38.1,38.9,829600
AON,20090710,36.75,36.91,36.45,36.68,2081000
AOS,20090710,5.2684,5.36,5.245,5.325,421800
AP,20090710,20.37,20.91,20.37,20.59,21000
APA,20090710,67.57,68.49,66.88,68.05,3509000
APB,20090710,8.15,8.18,8.13,8.13,5000
APC,20090710,41.87,42.79,41.4,42.49,4545000
APD,20090710,62.55,63.85,62.05,63.31,1092100
APF,20090710,12.3,12.3,12.15,12.18,28000
APH,20090710,15.63,15.99,15.585,15.72,1021200
APU,20090710,33.89,33.97,33.39,33.92,39300
ARA,20090710,14.84,14.84,14.32,14.59,92600
ARE,20090710,31.85,32,30.33,31.11,854200
ARL,20090710,10.23,10.38,10.23,10.38,700
ARW,20090710,20.04,20.28,19.87,20.02,942900
ASA,20090710,19.3,19.7767,19.3,19.65,16700
ASG,20090710,2.55,2.57,2.53,2.54,44700
ASH,20090710,24.64,25.79,24.33,25.16,1280900
ASR,20090710,36.32,36.43,35.68,36.22,40300
ASX,20090710,3.24,3.24,3.15,3.18,818300
ATI,20090710,30,30.91,29.55,30.72,3041000
ATO,20090710,24.84,24.91,24.5,24.65,179500
ATR,20090710,32.14,32.78,32.14,32.71,124200
ATU,20090710,10.36,10.69,10.31,10.44,784100
ATV,20090710,3.99,4.1,3.99,4.1,13100
ATW,20090710,22.51,24.13,22,23.7,1766500
AU,20090710,33.82,34.49,33.54,34.06,1801100
AUO,20090710,10.91,11.04,10.77,10.89,2661600
AUY,20090710,8.5,8.66,8.4,8.58,6965000
AVA,20090710,17.8,18.04,17.77,18,373800
AVB,20090710,50.58,51.64,49.97,51.34,1661000
AVD,20090710,10.07,11.06,9.49,9.66,185000
AVK,20090710,12.02,12.03,11.94,12,135700
AVP,20090710,25.43,25.5,25,25.11,2241300
AVT,20090710,20.45,20.88,20,20.72,1333200
AVX,20090710,9.61,9.85,9.61,9.79,182500
AVY,20090710,24.44,24.63,23.98,24.23,1619000
AWF,20090710,10.26,10.27,10.15,10.27,117900
AWH,20090710,13.56,13.6533,13.4167,13.5633,361700
AWI,20090710,15.48,16.27,15.31,16.12,235100
AWK,20090710,18.27,18.45,18.21,18.4,416700
AWP,20090710,4.71,4.73,4.51,4.54,173200
AWR,20090710,17.095,17.4,17.04,17.38,105900
AXE,20090710,35.89,36.33,35.3,35.6,146800
AXL,20090710,2.06,2.34,1.67,1.79,11691500
AXP,20090710,22.6,23.38,22.6,23.22,14680900
AXR,20090710,10.27,10.55,9.95,10.29,11300
AXS,20090710,25.75,26.15,25.58,25.99,995500
AYI,20090710,25.53,26.01,25.36,25.56,379000
AYR,20090710,6.53,6.61,6.3,6.49,167200
AZN,20090710,42.87,43.4,42.72,43.01,909600
AZO,20090710,154.57,156.54,153.02,153.92,586500
AZZ,20090710,15.58,15.975,15.22,15.9,71700
B,20090710,10.86,11.11,10.86,11.07,492800
BA,20090710,39.2,39.71,38.92,39.65,5833500
BAC,20090710,11.87,11.96,11.58,11.88,212283500
BAC-C,20090710,18.32,18.62,18.2,18.62,85800
BAC-D,20090710,17.65,18.05,17.65,17.78,18100
BAC-E,20090710,15.55,17.09,15.55,16.5,259500
BAC-I,20090710,17.05,17.1,16.84,17.05,49200
BAC-L,20090710,785,800,783,800,21000
BAC-W,20090710,18.78,19.06,18.75,18.95,47100
BAC-Y,20090710,16.45,16.87,16.45,16.69,22400
BAF,20090710,12.08,12.12,12.08,12.08,2800
BAK,20090710,6.99,7.1,6.96,7.08,87800
BAM,20090710,10.38,10.4267,10.26,10.3267,972200
BAP,20090710,56.23,56.9,55.65,55.89,113900
BAS,20090710,6.7,6.75,6.3,6.42,299600
BAX,20090710,52.49,53.43,52.31,52.75,3603900
BBD,20090710,10.1137,10.2424,9.9697,10.1818,8850800
BBF,20090710,12.1,12.1,11.93,12.02,17700
BBG,20090710,25.47,25.91,25.07,25.63,537200
BBK,20090710,13.21,13.54,13.14,13.18,22900
BBL,20090710,42.22,43.05,42.07,42.58,1539600
BBT,20090710,21.12,21.14,20.5,20.63,5226000
BBVA,20090710,12.07,12.21,11.97,12.09,397200
BBW,20090710,4.16,4.2,4.12,4.16,55300
BBX,20090710,17,17.5,13.85,14.95,404900
BBY,20090710,32.6,33.23,32.49,32.77,4293600
BC,20090710,3.49,3.76,3.49,3.72,946300
BCE,20090710,20.37,20.72,20.19,20.63,867300
BCH,20090710,40.5,41.25,40.48,41.03,14000
BCO,20090710,27.59,28.1,27.47,27.87,196400
BCR,20090710,73.81,74.29,72.65,72.76,1053700
BCS,20090710,18.7,18.86,18.43,18.64,1488700
BCS-A,20090710,18.53,18.76,18.48,18.58,54500
BCS-D,20090710,20.33,20.67,20.29,20.53,148800
BDC,20090710,15.81,16.24,15.69,16.04,266800
BDJ,20090710,7.12,7.35,7.03,7.35,121100
BDN,20090710,6.91,6.94,6.38,6.61,4974000
BDX,20090710,67.72,68.29,67.5,67.73,1157900
BEN,20090710,21.9167,22.23,21.8933,22.0633,1026500
BEP,20090710,10.15,10.28,10.13,10.28,20800
BF.A,20090710,14.99,15.02,14.7134,14.7467,2800
BF.B,20090710,13.98,14.1034,13.8334,13.9167,306700
BFK,20090710,12.11,12.11,11.93,11.98,45600
BFO,20090710,11.92,11.92,11.92,11.92,200
BFR,20090710,3.66,4,3.66,3.99,20100
BFS,20090710,28.06,28.64,27.96,28.4,52900
BFZ,20090710,11.67,11.83,11.6,11.77,23600
BG,20090710,55.42,57.55,55.19,56.49,1516000
BGC,20090710,34.23,34.99,33.91,34.35,483400
BGE-B,20090710,18.71,18.9,18.34,18.6,9200
BGG,20090710,13.36,13.75,13.26,13.65,236200
BGH,20090710,19.5,19.75,19.48,19.59,18000
BGR,20090710,18.35,18.35,17.7,18.27,101000
BGS,20090710,7.41,7.59,7.38,7.5,103900
BGT,20090710,10.92,11.08,10.92,11.02,42500
BGY,20090710,9.96,10.08,9.78,10.04,314900
